0.032253	.1968	500	concat	10
0.101994	.1501	500	uDance	10
0.0186719	.1713	1000	concat	10
0.10796	.1231	1000	uDance	10
0.0110724	.1256	2000	concat	10
0.112015	.0946	2000	uDance	10
0.00751102	.0983	4000	concat	10
0.109496	.0615	4000	uDance	10
0.00810858	.0786	8000	concat	10
0.118252	.0531	8000	uDance	10
0.086812	.2108	500	concat	11
0.0433875	.1455	500	uDance	11
0.0181563	.1573	1000	concat	11
0.0398758	.0978	1000	uDance	11
0.0178111	.1306	2000	concat	11
0.0376958	.0694	2000	uDance	11
0.00554521	.1041	4000	concat	11
0.0387563	.0603	4000	uDance	11
0.012351	.082	8000	concat	11
0.0385482	.0478	8000	uDance	11
0.0460134	.2329	500	concat	12
0.0433874	.1562	500	uDance	12
0.0259479	.1794	1000	concat	12
0.046342	.1159	1000	uDance	12
0.0112314	.1281	2000	concat	12
0.0473026	.0803	2000	uDance	12
0.0106217	.1051	4000	concat	12
0.0705862	.0651	4000	uDance	12
0.0156833	.0803	8000	concat	12
0.111323	.0581	8000	uDance	12
0.0916529	.2129	500	concat	13
0.0116913	.1324	500	uDance	13
0.0863673	.1573	1000	concat	13
0.0112474	.124	1000	uDance	13
0.0170146	.1386	2000	concat	13
0.0185741	.0787	2000	uDance	13
0.00841415	.1036	4000	concat	13
0.0141605	.0658	4000	uDance	13
0.0114943	.0768	8000	concat	13
0.0136292	.0502	8000	uDance	13
0.0113315	.2008	500	concat	14
0.0105248	.1386	500	uDance	14
0.00523353	.1433	1000	concat	14
0.00988785	.1163	1000	uDance	14
0.0116345	.1236	2000	concat	14
0.00790193	.0798	2000	uDance	14
0.0145734	.1126	4000	concat	14
0.00387158	.0656	4000	uDance	14
0.0159809	.082	8000	concat	14
0.00716758	.0505	8000	uDance	14
0.0492133	.2249	500	concat	15
0.00919518	.1538	500	uDance	15
0.0962424	.1743	1000	concat	15
0.00868659	.098	1000	uDance	15
0.0115384	.1251	2000	concat	15
0.00574604	.071	2000	uDance	15
0.00656951	.1026	4000	concat	15
0.0168465	.0744	4000	uDance	15
0.0148851	.084	8000	concat	15
0.00656631	.0484	8000	uDance	15
0.0175539	.1647	500	concat	16
0.01486	.1004	500	uDance	16
0.0139194	.1593	1000	concat	16
0.0133684	.0922	1000	uDance	16
0.00826611	.1261	2000	concat	16
0.0121188	.0858	2000	uDance	16
0.0094204	.099	4000	concat	16
0.0127857	.0626	4000	uDance	16
0.00948106	.0761	8000	concat	16
0.0145645	.0432	8000	uDance	16
0.0329925	.247	500	concat	17
0.0112953	.1744	500	uDance	17
0.0160001	.1834	1000	concat	17
0.0200909	.1065	1000	uDance	17
0.00894176	.1236	2000	concat	17
0.0109747	.0827	2000	uDance	17
0.00654318	.1008	4000	concat	17
0.016899	.0596	4000	uDance	17
0.0159197	.0833	8000	concat	17
0.0171902	.0443	8000	uDance	17
0.0477586	.2671	500	concat	18
0.0108221	.1423	500	uDance	18
0.0114115	.1743	1000	concat	18
0.00745734	.1019	1000	uDance	18
0.00557586	.1261	2000	concat	18
0.0130797	.0968	2000	uDance	18
0.00782991	.0993	4000	concat	18
0.0168516	.066	4000	uDance	18
0.0148625	.08	8000	concat	18
0.0321263	.0988	8000	uDance	18
0.0928251	.257	500	concat	19
0.027105	.1915	500	uDance	19
0.0165864	.1473	1000	concat	19
0.0277503	.1001	1000	uDance	19
0.0085299	.1311	2000	concat	19
0.0323129	.0853	2000	uDance	19
0.0129859	.1066	4000	concat	19
0.031186	.0822	4000	uDance	19
0.009995	.0825	8000	concat	19
0.032452	.0601	8000	uDance	19
